id,video_name,large_vs_large,large_vs_small,int_vs_int,large_vs_female,small_vs_female,int_vs_female,female_vs_female,female_vs_male,large_courting,intermediate_courting,small_courting,number_focal,number_large_male,number_small_male,number_model_female,male_chased_juvenile,tank_id,pairwise_distance_large_males,pairwise_distance_small_males,pairwise_distance_females,pairewise_distance_juvs,total_fish,date,comments,small_vs_small,observer,treatment,total_courtship,total_aggression,aggression_towards_females_by_males,aggression_towards_males_by_males,good_video
FF1_11-07-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/11_07_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.666666666666667,0.0,0.0,5.0,0.0,FF1,NaN,NaN,427.48,582.3233333333334,10.666666666666666,2016-11-07,0,0,SK,FF,0.0,1.0,0.0,0.0,TRUE
FF1_11-17-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/11_17_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0.0,6.0,0.0,FF1,NaN,NaN,373.75333333333333,688.1233333333333,10.333333333333334,2016-11-17,0,0,RE,FF,0.0,1.0,0.0,0.0,TRUE
FF2_06-08-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/06_08_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.666666666666667,0.0,FF2,NaN,NaN,444.5733333333333,388.3,12.666666666666666,2016-06-08,,NA,NA,FF,0.0,1.0,0.0,0.0,TRUE
FF2_06-17-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/06_17_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.333333333333334,0.0,0.0,7.333333333333333,0.0,FF2,NaN,NaN,392.16999999999996,429.5733333333333,16.666666666666668,2016-06-17,Largest female chased another femlae. Largest femlae seems to be the aggressor in the tank.,0,Rachel Koeter,FF,0.0,2.0,0.0,0.0,TRUE
FF2_06-27-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/06_27_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.333333333333334,0.0,0.0,7.666666666666667,0.0,FF2,NaN,NaN,345.1766666666667,550.09,19.0,2016-06-27,Model females seem to shoal together more than any of the other tanks.,0,Rachel Koeter,FF,0.0,1.0,0.0,0.0,TRUE
FF2_07-08-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/07_08_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,FF2,NaN,NaN,618.77,608.3733333333333,13.0,2016-07-08,Same female was agressive to two other females,0,RE,FF,0.0,0.6666666666666666,0.0,0.0,TRUE
FF2_07-22-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/07_22_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,FF2,NaN,NaN,361.7866666666667,91.32,10.0,2016-07-22,0,0,RE,FF,0.0,1.0,0.0,0.0,TRUE
FF2_07-25-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copeied from the mollusk 8_30_16/short_videos/07_25_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,6.333333333333333,0.0,FF2,NaN,NaN,270.99666666666667,636.855,10.0,2016-07-25,One female was swimming erratically.,0,SK,FF,0.0,0.6666666666666666,0.0,0.0,TRUE
FF2_08-05-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_05_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,5.5,0.0,0.0,7.666666666666667,0.0,FF2,NaN,NaN,241.51166666666666,479.62833333333333,13.166666666666666,2016-08-05,0,0,RE,FF,0.0,0.3333333333333333,0.0,0.0,FALSE
FF2_08-08-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_08_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,FF2,NaN,NaN,506.33000000000004,267.82666666666665,11.0,2016-08-08,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF2_08-19-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_19_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.666666666666667,0.0,FF2,NaN,NaN,343.65666666666664,426.31,9.666666666666666,2016-08-19,0,0,SK,FF,0.0,2.3333333333333335,0.0,0.0,TRUE
FF2_08-29-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_29_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.333333333333333,0.0,FF2,NaN,NaN,182.76333333333332,417.60333333333335,14.333333333333334,2016-08-29,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF2_09-07-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_07_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.333333333333333,0.0,FF2,NaN,NaN,437.1533333333333,588.3733333333333,12.333333333333334,2016-09-07,0,0,SK,FF,0.0,0.0,0.0,0.0,TRUE
FF2_09-15-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_15_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.333333333333332,0.0,0.0,5.666666666666667,0.0,FF2,NaN,NaN,396.92333333333335,533.2933333333333,26.0,2016-09-15,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF2_09-22-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_22_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,0.0,0.0,5.333333333333333,0.0,FF2,NaN,NaN,367.87,465.7766666666667,17.666666666666668,2016-09-22,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF2_09-30-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_30_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,0.0,0.0,7.0,0.0,FF2,NaN,NaN,383.42,567.05,19.333333333333332,2016-09-30,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
